EmployeeNumber,requisition_open_date,offer_accepted_date,start_date,time_to_fill_days,offer_to_start_lag_days,time_to_hire_days
645,2016-04-09,2016-05-05,2016-05-17,26,12,38
647,2017-11-01,2017-11-24,2017-12-06,23,12,35
648,2022-09-10,2022-09-22,2022-10-01,12,9,21
649,2017-02-05,2017-02-25,2017-03-18,20,21,41
650,2020-08-16,2020-09-17,2020-10-15,32,28,60
652,2020-01-23,2020-03-04,2020-03-30,41,26,67
653,2016-06-16,2016-07-12,2016-07-30,26,18,44
655,2018-08-22,2018-10-03,2018-10-22,42,19,61
656,2020-07-06,2020-08-17,2020-09-15,42,29,71
657,2022-05-26,2022-06-16,2022-07-05,21,19,40
659,2013-02-10,2013-03-25,2013-04-10,43,16,59
661,2022-01-16,2022-05-16,2022-06-07,120,22,142
662,2022-11-30,2023-01-19,2023-02-09,50,21,71
663,2015-01-25,2015-02-14,2015-03-05,20,19,39
664,2020-02-03,2020-03-12,2020-04-15,38,34,72
665,2021-03-27,2021-05-12,2021-06-08,46,27,73
666,2015-09-10,2015-09-23,2015-10-02,13,9,22
667,2019-07-16,2019-07-28,2019-08-18,12,21,33
669,2020-11-01,2020-11-17,2020-12-02,16,15,31
671,2021-05-12,2021-08-02,2021-08-31,82,29,111
675,2021-01-06,2021-01-28,2021-02-10,22,13,35
677,2018-07-04,2018-07-26,2018-08-12,22,17,39
679,2017-10-23,2017-11-17,2017-12-04,25,17,42
680,2022-04-26,2022-05-13,2022-05-22,17,9,26
682,2008-12-14,2009-01-03,2009-01-28,20,25,45
683,2012-12-26,2013-02-21,2013-03-04,57,11,68
684,2022-08-17,2022-09-18,2022-10-06,32,18,50
686,2020-06-18,2020-07-21,2020-08-02,33,12,45
689,2013-05-14,2013-06-19,2013-07-05,36,16,52
690,2017-09-02,2017-09-28,2017-10-16,26,18,44
691,2006-08-17,2006-09-10,2006-10-08,24,28,52
692,2010-09-11,2010-09-22,2010-10-20,11,28,39
698,2013-12-06,2013-12-26,2014-01-16,20,21,41
699,2020-03-12,2020-03-28,2020-04-17,16,20,36
700,2019-02-09,2019-02-18,2019-03-15,9,25,34
701,2022-02-24,2022-03-10,2022-03-22,14,12,26
702,2012-11-26,2013-01-04,2013-01-29,39,25,64
704,2022-11-04,2022-11-27,2022-12-07,23,10,33
705,2020-01-08,2020-02-16,2020-02-28,39,12,51
707,2020-11-01,2020-12-04,2020-12-21,33,17,50
709,2016-06-06,2016-07-14,2016-07-25,38,11,49
710,2013-05-05,2013-05-21,2013-06-12,16,22,38
712,2021-07-06,2021-08-10,2021-09-06,35,27,62
714,2017-09-28,2017-11-04,2017-11-22,37,18,55
715,2022-09-25,2022-10-13,2022-11-05,18,23,41
716,2003-01-28,2003-02-26,2003-03-20,29,22,51
717,2015-06-29,2015-08-23,2015-09-21,55,29,84
720,2021-08-06,2021-08-28,2021-09-23,22,26,48
721,2003-01-01,2003-01-22,2003-02-12,21,21,42
722,2013-10-24,2013-11-10,2013-11-23,17,13,30
723,2018-12-20,2019-01-18,2019-02-15,29,28,57
724,2013-12-15,2014-01-21,2014-02-12,37,22,59
725,2014-04-08,2014-05-10,2014-06-10,32,31,63
727,2016-08-30,2016-10-13,2016-11-15,44,33,77
728,2016-10-01,2016-11-05,2016-11-19,35,14,49
729,2005-07-25,2005-09-12,2005-10-03,49,21,70
730,2018-02-16,2018-05-30,2018-06-18,103,19,122
731,2002-08-03,2002-11-01,2002-11-19,90,18,108
732,2021-06-14,2021-07-03,2021-08-01,19,29,48
733,2014-08-07,2014-11-01,2014-12-03,86,32,118
734,2001-04-08,2001-05-22,2001-07-01,44,40,84
738,2021-11-14,2021-12-14,2022-01-07,30,24,54
741,2016-03-18,2016-04-11,2016-05-01,24,20,44
742,2015-10-27,2015-12-03,2015-12-26,37,23,60
743,2022-09-11,2022-10-02,2022-11-04,21,33,54
744,2018-10-04,2018-10-25,2018-11-12,21,18,39
746,2001-01-21,2001-02-16,2001-03-17,26,29,55
747,2015-11-01,2015-12-12,2015-12-27,41,15,56
749,2022-06-14,2022-07-21,2022-08-11,37,21,58
752,2021-05-05,2021-05-22,2021-06-13,17,22,39
754,2021-05-16,2021-06-17,2021-07-10,32,23,55
757,2018-03-28,2018-04-21,2018-05-11,24,20,44
758,2019-02-26,2019-03-16,2019-03-28,18,12,30
760,2015-07-11,2015-08-14,2015-08-25,34,11,45
762,2012-12-25,2013-02-17,2013-03-18,54,29,83
763,2019-07-17,2019-09-01,2019-09-21,46,20,66
764,2015-11-30,2015-12-27,2016-01-21,27,25,52
766,2021-05-20,2021-06-19,2021-07-14,30,25,55
769,2021-02-27,2021-04-01,2021-04-21,33,20,53
771,2021-12-21,2022-02-03,2022-03-01,44,26,70
772,2013-02-08,2013-03-07,2013-03-31,27,24,51
773,2022-02-02,2022-02-25,2022-03-10,23,13,36
775,2023-05-07,2023-06-07,2023-07-04,31,27,58
776,1989-11-10,1989-12-14,1989-12-30,34,16,50
780,2013-05-31,2013-06-30,2013-07-19,30,19,49
781,2017-09-06,2017-10-12,2017-11-09,36,28,64
783,2014-12-28,2015-02-02,2015-02-25,36,23,59
784,2021-08-14,2021-09-26,2021-10-20,43,24,67
785,2018-08-22,2018-10-11,2018-10-23,50,12,62
786,2017-08-31,2017-09-24,2017-10-15,24,21,45
787,2018-01-29,2018-04-19,2018-05-25,80,36,116
789,2013-04-25,2013-05-25,2013-06-20,30,26,56
791,2018-12-19,2019-01-11,2019-02-03,23,23,46
792,2021-07-13,2021-07-31,2021-08-16,18,16,34
793,2015-07-11,2015-09-11,2015-10-04,62,23,85
796,2019-11-09,2019-12-11,2019-12-29,32,18,50
797,2019-11-30,2019-12-21,2020-01-13,21,23,44
799,2018-06-27,2018-08-18,2018-08-31,52,13,65
800,2019-01-16,2019-01-28,2019-02-12,12,15,27
802,2018-06-17,2018-06-27,2018-07-07,10,10,20
803,2007-12-17,2008-01-30,2008-02-23,44,24,68
804,2017-11-02,2017-11-26,2017-12-08,24,12,36
805,2020-11-05,2020-11-27,2020-12-11,22,14,36
806,2021-02-07,2021-02-21,2021-03-16,14,23,37
807,2015-10-20,2015-11-21,2015-12-08,32,17,49
808,2020-10-13,2020-12-14,2020-12-27,62,13,75
809,1999-04-30,1999-08-04,1999-08-21,96,17,113
811,2023-01-06,2023-01-31,2023-02-12,25,12,37
812,2022-03-26,2022-04-14,2022-05-08,19,24,43
813,2018-10-22,2018-11-18,2018-12-09,27,21,48
815,2019-01-14,2019-02-07,2019-03-16,24,37,61
816,2022-02-04,2022-03-01,2022-03-13,25,12,37
817,2010-01-06,2010-03-08,2010-03-28,61,20,81
819,2020-01-22,2020-02-06,2020-02-20,15,14,29
820,1997-08-14,1997-09-25,1997-10-19,42,24,66
823,2013-12-12,2014-01-01,2014-01-22,20,21,41
824,2013-08-12,2013-08-28,2013-09-19,16,22,38
825,1991-12-23,1992-03-02,1992-03-28,70,26,96
826,2021-05-16,2021-05-26,2021-06-17,10,22,32
827,2019-02-02,2019-03-15,2019-04-06,41,22,63
828,2021-04-16,2021-05-17,2021-05-30,31,13,44
829,2018-04-15,2018-05-01,2018-05-25,16,24,40
830,2009-05-04,2009-05-16,2009-06-04,12,19,31
832,2022-03-01,2022-03-23,2022-04-05,22,13,35
833,2023-01-29,2023-03-23,2023-04-21,53,29,82
834,2022-10-25,2022-11-02,2022-11-26,8,24,32
836,2014-02-08,2014-03-08,2014-03-19,28,11,39
837,2019-05-17,2019-06-06,2019-07-04,20,28,48
838,2018-07-24,2018-08-25,2018-09-19,32,25,57
840,2014-05-13,2014-06-11,2014-07-11,29,30,59
842,2013-12-10,2014-01-12,2014-01-27,33,15,48
843,2018-11-30,2019-02-07,2019-03-08,69,29,98
844,2013-11-21,2014-02-20,2014-03-16,91,24,115
845,2015-05-26,2015-07-05,2015-07-31,40,26,66
846,2015-02-08,2015-03-13,2015-04-04,33,22,55
847,2020-07-29,2020-08-08,2020-08-27,10,19,29
848,2015-03-17,2015-04-23,2015-05-10,37,17,54
850,2023-04-20,2023-05-07,2023-05-27,17,20,37
851,2003-08-12,2003-09-19,2003-10-16,38,27,65
852,2018-08-27,2018-09-28,2018-10-09,32,11,43
854,2019-12-03,2019-12-15,2019-12-24,12,9,21
855,2014-09-25,2014-10-26,2014-11-24,31,29,60
856,2017-06-12,2017-07-16,2017-08-09,34,24,58
857,2005-06-01,2005-07-02,2005-07-24,31,22,53
859,2018-10-17,2018-11-01,2018-11-15,15,14,29
861,2018-07-02,2018-07-24,2018-08-15,22,22,44
862,2018-04-02,2018-05-23,2018-06-08,51,16,67
864,2018-09-14,2018-10-02,2018-10-22,18,20,38
865,2018-08-06,2018-08-27,2018-09-13,21,17,38
867,2014-06-01,2014-08-18,2014-09-02,78,15,93
868,2022-05-18,2022-06-18,2022-07-14,31,26,57
869,2018-07-27,2018-08-17,2018-09-03,21,17,38
872,2021-01-26,2021-04-04,2021-04-21,68,17,85
874,2020-08-03,2020-08-31,2020-09-17,28,17,45
875,2021-07-01,2021-07-31,2021-08-09,30,9,39
878,2018-06-21,2018-08-13,2018-08-29,53,16,69
879,2018-09-24,2018-10-20,2018-11-09,26,20,46
880,2006-03-18,2006-04-19,2006-05-09,32,20,52
881,2013-09-01,2013-09-28,2013-10-21,27,23,50
882,2020-08-19,2020-09-15,2020-09-28,27,13,40
885,2018-02-23,2018-03-18,2018-03-31,23,13,36
887,2019-01-02,2019-01-17,2019-02-03,15,17,32
888,2018-02-22,2018-04-21,2018-05-15,58,24,82
889,2012-12-26,2013-01-27,2013-02-14,32,18,50
893,2021-02-13,2021-02-28,2021-03-09,15,9,24
894,2018-05-09,2018-06-24,2018-07-23,46,29,75
895,2017-03-01,2017-03-23,2017-04-08,22,16,38
896,2020-08-19,2020-09-06,2020-09-17,18,11,29
897,2021-05-02,2021-07-01,2021-07-30,60,29,89
899,2010-05-19,2010-06-14,2010-07-03,26,19,45
900,2017-12-13,2018-01-05,2018-01-29,23,24,47
901,2010-10-23,2011-02-19,2011-03-12,119,21,140
902,2018-05-21,2018-06-29,2018-07-20,39,21,60
903,2016-04-06,2016-04-30,2016-05-21,24,21,45
904,2013-09-14,2013-10-15,2013-11-02,31,18,49
905,1992-01-14,1992-03-01,1992-03-27,47,26,73
909,2018-05-22,2018-06-14,2018-06-27,23,13,36
910,2019-06-01,2019-06-16,2019-07-05,15,19,34
911,2022-02-15,2022-03-20,2022-04-10,33,21,54
912,2019-04-23,2019-05-04,2019-05-29,11,25,36
913,2015-11-04,2015-12-06,2015-12-20,32,14,46
916,2019-08-23,2019-09-16,2019-10-02,24,16,40
918,2022-09-27,2022-10-24,2022-11-11,27,18,45
920,2022-03-07,2022-03-28,2022-04-21,21,24,45
922,2021-11-04,2021-12-08,2022-01-02,34,25,59
923,2022-09-16,2022-10-24,2022-11-02,38,9,47
924,2007-04-10,2007-05-27,2007-06-11,47,15,62
925,2020-04-12,2020-04-23,2020-05-06,11,13,24
926,2020-05-16,2020-06-30,2020-07-15,45,15,60
927,2016-01-23,2016-02-19,2016-03-06,27,16,43
930,2021-01-09,2021-01-21,2021-02-13,12,23,35
932,2021-10-26,2021-11-18,2021-11-27,23,9,32
933,2021-12-14,2022-01-10,2022-02-01,27,22,49
934,2022-04-17,2022-05-16,2022-06-04,29,19,48
936,2018-04-05,2018-05-05,2018-05-27,30,22,52
939,2020-10-26,2020-11-21,2020-12-11,26,20,46
940,2017-02-28,2017-05-18,2017-06-02,79,15,94
941,2016-03-02,2016-04-04,2016-04-25,33,21,54
942,2013-05-23,2013-06-02,2013-06-17,10,15,25
944,1997-10-15,1997-11-22,1997-12-15,38,23,61
945,2023-05-28,2023-06-19,2023-07-09,22,20,42
947,2014-01-02,2014-01-16,2014-02-07,14,22,36
949,2017-03-18,2017-04-11,2017-04-25,24,14,38
950,2008-08-24,2008-11-04,2008-11-25,72,21,93
951,2019-12-29,2020-01-13,2020-01-30,15,17,32
952,2021-12-29,2022-01-21,2022-01-30,23,9,32
954,2022-09-21,2022-10-17,2022-11-14,26,28,54
956,2016-02-24,2016-03-16,2016-03-28,21,12,33
957,2005-06-22,2005-08-03,2005-08-19,42,16,58
958,2012-05-04,2012-05-23,2012-06-12,19,20,39
959,2022-07-02,2022-07-26,2022-08-05,24,10,34
960,2022-02-27,2022-03-10,2022-04-04,11,25,36
961,2013-10-22,2013-12-29,2014-01-16,68,18,86
964,2022-02-20,2022-03-21,2022-03-30,29,9,38
966,2014-12-19,2015-01-18,2015-02-10,30,23,53
967,2006-11-24,2007-01-11,2007-02-04,48,24,72
969,2018-11-02,2018-11-20,2018-12-13,18,23,41
970,2009-07-17,2009-09-16,2009-10-14,61,28,89
972,2014-03-09,2014-04-06,2014-04-26,28,20,48
974,2020-05-03,2020-05-21,2020-06-13,18,23,41
975,2018-11-16,2018-12-09,2018-12-27,23,18,41
976,2014-10-01,2014-11-14,2014-12-11,44,27,71
977,2022-05-29,2022-06-28,2022-07-09,30,11,41
981,2006-03-14,2006-05-06,2006-06-04,53,29,82
982,2015-09-09,2015-10-28,2015-11-15,49,18,67
983,2018-09-22,2018-10-20,2018-11-13,28,24,52
984,2013-09-13,2013-10-30,2013-11-28,47,29,76
985,2015-04-21,2015-05-23,2015-06-23,32,31,63
986,2022-08-12,2022-12-07,2023-01-12,117,36,153
987,2004-05-21,2004-06-07,2004-06-20,17,13,30
990,2016-05-27,2016-07-12,2016-07-25,46,13,59
991,2020-05-25,2020-07-04,2020-07-28,40,24,64
992,2013-03-16,2013-04-19,2013-05-12,34,23,57
994,2023-05-05,2023-06-30,2023-07-09,56,9,65
995,2020-03-08,2020-04-11,2020-04-24,34,13,47
996,2018-02-13,2018-03-19,2018-04-11,34,23,57
997,2017-11-26,2018-01-21,2018-02-13,56,23,79
998,2017-02-15,2017-03-17,2017-03-29,30,12,42
999,2005-04-03,2005-06-05,2005-07-10,63,35,98
1001,2021-06-10,2021-07-07,2021-07-19,27,12,39
1002,2014-08-08,2014-10-03,2014-10-20,56,17,73
1003,2014-04-30,2014-05-30,2014-06-10,30,11,41
1004,2018-10-21,2018-11-06,2018-11-25,16,19,35
1005,2010-10-31,2011-01-16,2011-02-10,77,25,102
1006,2021-01-15,2021-02-17,2021-03-12,33,23,56
1007,2015-09-17,2015-11-13,2015-12-03,57,20,77
1009,2019-02-06,2019-03-21,2019-04-04,43,14,57
1010,2019-11-02,2019-11-23,2019-12-04,21,11,32
1011,2019-03-22,2019-04-13,2019-04-27,22,14,36
1012,2023-11-12,2023-11-28,2023-12-14,16,16,32
1013,2013-06-13,2013-07-06,2013-07-20,23,14,37
1014,2007-03-12,2007-04-29,2007-05-20,48,21,69
1015,2015-02-11,2015-03-25,2015-04-24,42,30,72
1016,2022-07-05,2022-07-24,2022-08-15,19,22,41
1017,2020-01-18,2020-01-25,2020-02-13,7,19,26
1018,2015-02-20,2015-03-12,2015-04-08,20,27,47
1019,2019-09-03,2019-10-09,2019-10-31,36,22,58
1022,2021-03-28,2021-04-22,2021-05-15,25,23,48
1024,2008-02-02,2008-03-23,2008-04-23,50,31,81
1025,2021-08-15,2021-09-02,2021-09-15,18,13,31
1026,2001-12-10,2002-03-18,2002-04-20,98,33,131
1027,2020-01-07,2020-02-06,2020-02-22,30,16,46
1028,2020-02-04,2020-03-01,2020-03-22,26,21,47
1029,2021-10-02,2022-03-03,2022-04-11,152,39,191
1030,2022-03-30,2022-05-11,2022-05-28,42,17,59
1032,2018-08-03,2018-09-21,2018-10-08,49,17,66
1033,2022-02-15,2022-03-12,2022-03-30,25,18,43
1034,2015-07-21,2015-08-18,2015-09-05,28,18,46
1035,2002-03-01,2002-05-25,2002-07-04,85,40,125
1036,2022-07-29,2022-08-25,2022-09-22,27,28,55
1037,2021-08-08,2021-09-01,2021-09-22,24,21,45
1038,1991-06-24,1991-10-10,1991-11-19,108,40,148
1039,2010-11-20,2011-01-05,2011-01-30,46,25,71
1040,2005-08-26,2005-11-04,2005-11-22,70,18,88
1042,2006-10-28,2006-11-21,2006-12-14,24,23,47
1043,2001-10-14,2002-01-11,2002-02-07,89,27,116
1044,2021-05-17,2021-06-09,2021-06-26,23,17,40
1045,2014-05-04,2014-07-14,2014-08-08,71,25,96
1046,2015-03-15,2015-04-01,2015-04-21,17,20,37
1047,2008-07-14,2008-08-03,2008-08-28,20,25,45
1048,2017-09-21,2017-11-06,2017-11-29,46,23,69
1049,2017-03-18,2017-04-14,2017-04-23,27,9,36
1050,2008-09-18,2008-10-27,2008-11-11,39,15,54
1052,2022-05-26,2022-06-14,2022-06-27,19,13,32
1053,2020-01-05,2020-01-18,2020-02-03,13,16,29
1055,2022-01-08,2022-01-19,2022-02-07,11,19,30
1056,2022-08-04,2022-08-14,2022-09-05,10,22,32
1060,2021-02-28,2021-03-24,2021-04-05,24,12,36
1061,2015-01-13,2015-05-01,2015-06-06,108,36,144
1062,2019-05-31,2019-07-02,2019-07-25,32,23,55
1066,2016-11-02,2016-11-13,2016-11-24,11,11,22
1068,2018-07-26,2018-08-16,2018-08-30,21,14,35
1069,2021-02-22,2021-04-28,2021-05-22,65,24,89
1070,2013-09-22,2013-12-19,2014-01-19,88,31,119
1071,2018-12-07,2018-12-20,2019-01-13,13,24,37
1073,2009-02-20,2009-03-29,2009-04-28,37,30,67
1074,2013-10-27,2014-02-13,2014-03-12,109,27,136
1076,2021-11-25,2022-01-09,2022-02-01,45,23,68
1077,2021-07-05,2021-07-30,2021-08-13,25,14,39
1079,2022-10-17,2022-11-10,2022-12-02,24,22,46
1080,2007-08-21,2007-09-27,2007-10-09,37,12,49
1081,2013-01-25,2013-02-25,2013-03-10,31,13,44
1082,2013-01-12,2013-02-13,2013-02-28,32,15,47
1083,2018-04-07,2018-05-10,2018-05-27,33,17,50
1084,2017-10-27,2017-11-15,2017-12-01,19,16,35
1085,2013-10-24,2013-11-19,2013-12-01,26,12,38
1088,2004-05-18,2004-07-04,2004-07-24,47,20,67
1092,2012-04-10,2012-05-14,2012-06-14,34,31,65
1094,2020-11-23,2020-12-16,2021-01-03,23,18,41
1096,2020-03-06,2020-04-09,2020-05-09,34,30,64
1097,2015-05-13,2015-06-03,2015-07-01,21,28,49
1098,2003-11-11,2003-12-11,2004-01-11,30,31,61
1099,2020-10-24,2020-11-21,2020-12-11,28,20,48
1100,2015-05-21,2015-07-03,2015-08-03,43,31,74
1101,2010-03-09,2010-03-29,2010-04-26,20,28,48
1102,2019-01-23,2019-02-23,2019-03-20,31,25,56
1103,2017-07-04,2017-07-24,2017-08-10,20,17,37
1105,2022-08-23,2022-09-14,2022-09-29,22,15,37
1106,2015-12-22,2016-01-09,2016-01-27,18,18,36
1107,2022-05-29,2022-07-07,2022-07-31,39,24,63
1108,2021-08-02,2021-08-28,2021-09-21,26,24,50
1109,2001-05-19,2001-07-09,2001-08-06,51,28,79
1111,2022-12-02,2022-12-30,2023-01-10,28,11,39
1113,2023-08-27,2023-09-08,2023-09-27,12,19,31
1114,2020-05-19,2020-06-16,2020-07-10,28,24,52
1115,2022-12-07,2023-01-27,2023-02-14,51,18,69
1116,2018-01-30,2018-03-29,2018-04-20,58,22,80
1117,2008-02-18,2008-03-18,2008-04-04,29,17,46
1118,2015-04-24,2015-06-17,2015-07-01,54,14,68
1119,2015-09-24,2015-11-17,2015-12-06,54,19,73
1120,2016-07-26,2016-08-05,2016-08-25,10,20,30
1121,2013-12-07,2013-12-29,2014-01-16,22,18,40
1124,2011-10-02,2011-11-23,2011-12-30,52,37,89
1125,2022-01-16,2022-02-14,2022-02-28,29,14,43
1126,2015-02-01,2015-04-16,2015-05-11,74,25,99
1127,2005-07-20,2005-09-07,2005-10-03,49,26,75
1128,2003-01-28,2003-03-01,2003-04-07,32,37,69
1131,2021-02-05,2021-02-19,2021-03-15,14,24,38
1132,2018-11-28,2018-12-09,2018-12-30,11,21,32
1133,2012-10-17,2012-11-15,2012-12-07,29,22,51
1135,2021-04-08,2021-04-27,2021-05-17,19,20,39
1136,2017-12-10,2017-12-29,2018-01-15,19,17,36
1137,2018-11-10,2018-12-23,2019-01-06,43,14,57
1138,2014-02-04,2014-04-23,2014-05-17,78,24,102
1140,2020-10-12,2020-11-11,2020-11-26,30,15,45
1143,2016-04-26,2016-05-06,2016-05-22,10,16,26
1148,2022-03-30,2022-05-10,2022-06-01,41,22,63
1150,2013-10-19,2013-11-28,2013-12-12,40,14,54
1152,2016-04-08,2016-04-28,2016-05-11,20,13,33
1154,2019-12-28,2020-01-31,2020-02-22,34,22,56
1156,2023-02-05,2023-02-19,2023-03-06,14,15,29
1157,2018-10-19,2018-12-21,2019-01-04,63,14,77
1158,2022-09-10,2022-09-26,2022-10-17,16,21,37
1160,2021-08-28,2021-09-28,2021-10-19,31,21,52
1161,2017-06-21,2017-07-07,2017-08-02,16,26,42
1162,2019-10-18,2019-11-03,2019-11-24,16,21,37
1163,2016-12-19,2017-02-08,2017-03-09,51,29,80
1164,2018-03-03,2018-03-19,2018-04-06,16,18,34
1165,2012-01-13,2012-03-06,2012-03-25,53,19,72
1166,2005-08-16,2005-10-03,2005-11-03,48,31,79
1167,2002-11-03,2002-12-19,2003-01-09,46,21,67
1171,2016-12-14,2017-01-31,2017-02-16,48,16,64
1172,2015-08-19,2015-09-09,2015-10-02,21,23,44
1173,2019-04-17,2019-04-28,2019-05-21,11,23,34
1175,2022-01-17,2022-02-03,2022-02-17,17,14,31
1177,2015-11-13,2015-12-12,2016-01-02,29,21,50
1179,2013-11-13,2013-12-16,2014-01-13,33,28,61
1180,2022-12-01,2022-12-18,2023-01-13,17,26,43
1182,2016-10-03,2016-11-05,2016-11-18,33,13,46
1184,2010-11-08,2010-12-04,2010-12-27,26,23,49
1185,2021-02-18,2021-03-10,2021-03-21,20,11,31
1188,2019-04-26,2019-05-12,2019-06-08,16,27,43
1190,2021-12-27,2022-01-12,2022-01-22,16,10,26
1191,2017-12-25,2018-02-15,2018-03-28,52,41,93
1192,2012-12-16,2013-01-16,2013-01-28,31,12,43
1193,2022-09-01,2022-10-03,2022-10-19,32,16,48
1195,2020-08-28,2020-09-19,2020-10-01,22,12,34
1196,2009-01-15,2009-02-12,2009-03-10,28,26,54
1198,2021-09-08,2021-10-02,2021-10-17,24,15,39
1200,2017-11-17,2017-12-04,2017-12-25,17,21,38
1201,2016-03-14,2016-04-27,2016-05-15,44,18,62
1202,2018-02-24,2018-03-12,2018-03-28,16,16,32
1203,2022-12-16,2023-01-03,2023-01-27,18,24,42
1204,1996-12-06,1997-01-05,1997-02-10,30,36,66
1206,2023-10-27,2023-11-21,2023-12-03,25,12,37
1207,2018-02-28,2018-03-24,2018-04-08,24,15,39
1210,2022-02-13,2022-02-25,2022-03-12,12,15,27
1211,2019-03-18,2019-04-15,2019-05-06,28,21,49
1212,2023-02-03,2023-03-01,2023-03-22,26,21,47
1215,2020-12-25,2021-02-26,2021-03-15,63,17,80
1216,2017-06-22,2017-07-15,2017-08-05,23,21,44
1217,2019-11-01,2019-12-10,2020-01-01,39,22,61
1218,2016-06-29,2016-07-16,2016-08-01,17,16,33
1219,2022-09-17,2022-10-10,2022-11-02,23,23,46
1220,2013-09-29,2013-11-10,2013-12-04,42,24,66
1221,2016-11-06,2016-11-15,2016-11-30,9,15,24
1224,2013-03-01,2013-04-07,2013-05-05,37,28,65
1225,2003-05-06,2003-06-27,2003-07-15,52,18,70
1226,2021-05-25,2021-06-13,2021-07-01,19,18,37
1228,2017-02-22,2017-04-03,2017-04-18,40,15,55
1231,2019-05-27,2019-06-15,2019-06-29,19,14,33
1233,2012-04-13,2012-05-10,2012-05-30,27,20,47
1234,2021-11-14,2021-11-26,2021-12-14,12,18,30
1235,2015-01-31,2015-02-13,2015-03-11,13,26,39
1237,2016-05-11,2016-07-14,2016-08-04,64,21,85
1238,2009-10-10,2009-10-26,2009-11-19,16,24,40
1239,2018-02-07,2018-03-02,2018-03-24,23,22,45
1240,2019-03-25,2019-04-10,2019-04-22,16,12,28
1241,2012-11-22,2012-12-05,2012-12-26,13,21,34
1242,2022-08-31,2022-10-11,2022-11-05,41,25,66
1243,2010-11-21,2010-12-19,2011-01-09,28,21,49
1244,2014-08-26,2014-09-22,2014-10-08,27,16,43
1245,2018-09-29,2018-11-20,2018-12-09,52,19,71
1246,2013-03-16,2013-04-11,2013-04-30,26,19,45
1248,2022-05-26,2022-06-20,2022-07-08,25,18,43
1249,2019-11-25,2020-01-07,2020-01-23,43,16,59
1250,2013-02-18,2013-03-26,2013-04-16,36,21,57
1251,2017-04-16,2017-05-18,2017-06-05,32,18,50
1252,2013-05-03,2013-06-23,2013-07-13,51,20,71
1254,2017-10-22,2017-12-07,2017-12-26,46,19,65
1255,2015-10-19,2015-11-27,2015-12-21,39,24,63
1256,2022-03-04,2022-05-04,2022-06-04,61,31,92
1257,2012-11-22,2013-01-01,2013-01-13,40,12,52
1258,2022-11-15,2022-12-13,2022-12-30,28,17,45
1259,2018-09-21,2018-10-16,2018-10-27,25,11,36
1260,2017-01-08,2017-02-07,2017-02-26,30,19,49
1263,2022-04-27,2022-06-25,2022-07-31,59,36,95
1264,2016-01-27,2016-03-29,2016-05-01,62,33,95
1265,2022-07-07,2022-07-28,2022-08-17,21,20,41
1267,2001-08-10,2001-10-08,2001-11-12,59,35,94
1268,2014-07-10,2014-08-18,2014-09-01,39,14,53
1269,2022-11-10,2022-11-28,2022-12-12,18,14,32
1270,2022-02-19,2022-03-19,2022-04-08,28,20,48
1273,2022-08-15,2022-10-18,2022-11-09,64,22,86
1275,2015-08-02,2015-08-13,2015-08-31,11,18,29
1277,1998-10-09,1998-12-16,1999-01-23,68,38,106
1278,1990-04-11,1990-05-22,1990-06-12,41,21,62
1279,2021-06-21,2021-07-20,2021-07-31,29,11,40
1280,2012-04-11,2012-06-11,2012-06-30,61,19,80
1281,2020-02-03,2020-03-12,2020-04-03,38,22,60
1282,1994-06-07,1994-09-11,1994-10-14,96,33,129
1283,2014-03-23,2014-05-09,2014-05-27,47,18,65
1285,2011-12-17,2012-02-06,2012-03-02,51,25,76
1286,2019-05-22,2019-05-31,2019-06-21,9,21,30
1288,1998-03-02,1998-07-10,1998-08-05,130,26,156
1289,2013-10-10,2013-11-08,2013-11-23,29,15,44
1291,2020-08-21,2020-09-25,2020-10-16,35,21,56
1292,2021-12-22,2022-01-11,2022-02-03,20,23,43
1293,2002-05-19,2002-06-15,2002-07-01,27,16,43
1294,2007-08-10,2007-09-13,2007-09-28,34,15,49
1295,2013-06-10,2013-07-23,2013-08-15,43,23,66
1296,2021-05-06,2021-06-01,2021-06-18,26,17,43
1297,2016-05-17,2016-06-21,2016-07-02,35,11,46
1298,2015-03-21,2015-04-06,2015-05-05,16,29,45
1299,2016-08-25,2016-09-28,2016-10-13,34,15,49
1301,2020-04-15,2020-05-08,2020-05-23,23,15,38
1303,2021-07-06,2021-07-27,2021-08-06,21,10,31
1304,2012-12-24,2013-01-09,2013-02-05,16,27,43
1306,2023-08-05,2023-10-28,2023-11-19,84,22,106
1307,2004-09-24,2004-10-15,2004-11-21,21,37,58
1308,2021-06-13,2021-07-13,2021-07-30,30,17,47
1309,2013-05-29,2013-06-16,2013-07-13,18,27,45
1310,2018-04-02,2018-04-25,2018-05-07,23,12,35
1311,2014-07-06,2014-08-06,2014-08-20,31,14,45
1312,2015-11-09,2016-01-18,2016-02-16,70,29,99
1314,2016-06-16,2016-07-03,2016-07-25,17,22,39
1315,2014-10-14,2014-11-07,2014-11-28,24,21,45
1317,2020-10-03,2020-11-17,2020-12-02,45,15,60
1318,2017-10-21,2017-12-23,2018-01-24,63,32,95
1319,2015-09-21,2015-11-07,2015-11-28,47,21,68
1321,2013-11-26,2014-01-02,2014-02-03,37,32,69
1322,2015-08-11,2015-09-09,2015-10-06,29,27,56
